roleName0,rolePermission10,createAt10,isDefault0,updateAt0
roleName457,rolePermission1457,createAt1457,isDefault457,updateAt457
roleName458,rolePermission1458,createAt1458,isDefault458,updateAt458
roleName459,rolePermission1459,createAt1459,isDefault459,updateAt459
roleName460,rolePermission1460,createAt1460,isDefault460,updateAt460
roleName461,rolePermission1461,createAt1461,isDefault461,updateAt461
roleName462,rolePermission1462,createAt1462,isDefault462,updateAt462
roleName463,rolePermission1463,createAt1463,isDefault463,updateAt463
roleName464,rolePermission1464,createAt1464,isDefault464,updateAt464
roleName465,rolePermission1465,createAt1465,isDefault465,updateAt465
roleName466,rolePermission1466,createAt1466,isDefault466,updateAt466
roleName467,rolePermission1467,createAt1467,isDefault467,updateAt467
roleName468,rolePermission1468,createAt1468,isDefault468,updateAt468
roleName469,rolePermission1469,createAt1469,isDefault469,updateAt469
roleName470,rolePermission1470,createAt1470,isDefault470,updateAt470
roleName471,rolePermission1471,createAt1471,isDefault471,updateAt471
roleName472,rolePermission1472,createAt1472,isDefault472,updateAt472
roleName473,rolePermission1473,createAt1473,isDefault473,updateAt473
roleName474,rolePermission1474,createAt1474,isDefault474,updateAt474
roleName475,rolePermission1475,createAt1475,isDefault475,updateAt475
roleName476,rolePermission1476,createAt1476,isDefault476,updateAt476
roleName477,rolePermission1477,createAt1477,isDefault477,updateAt477
roleName478,rolePermission1478,createAt1478,isDefault478,updateAt478
roleName479,rolePermission1479,createAt1479,isDefault479,updateAt479
roleName480,rolePermission1480,createAt1480,isDefault480,updateAt480
roleName481,rolePermission1481,createAt1481,isDefault481,updateAt481
roleName482,rolePermission1482,createAt1482,isDefault482,updateAt482
roleName483,rolePermission1483,createAt1483,isDefault483,updateAt483
roleName484,rolePermission1484,createAt1484,isDefault484,updateAt484
roleName485,rolePermission1485,createAt1485,isDefault485,updateAt485
roleName486,rolePermission1486,createAt1486,isDefault486,updateAt486
roleName487,rolePermission1487,createAt1487,isDefault487,updateAt487
roleName488,rolePermission1488,createAt1488,isDefault488,updateAt488
roleName489,rolePermission1489,createAt1489,isDefault489,updateAt489
roleName490,rolePermission1490,createAt1490,isDefault490,updateAt490
roleName491,rolePermission1491,createAt1491,isDefault491,updateAt491
roleName492,rolePermission1492,createAt1492,isDefault492,updateAt492
roleName493,rolePermission1493,createAt1493,isDefault493,updateAt493
roleName494,rolePermission1494,createAt1494,isDefault494,updateAt494
roleName495,rolePermission1495,createAt1495,isDefault495,updateAt495
roleName496,rolePermission1496,createAt1496,isDefault496,updateAt496
roleName497,rolePermission1497,createAt1497,isDefault497,updateAt497
roleName498,rolePermission1498,createAt1498,isDefault498,updateAt498
roleName499,rolePermission1499,createAt1499,isDefault499,updateAt499
roleName500,rolePermission1500,createAt1500,isDefault500,updateAt500
roleName501,rolePermission1501,createAt1501,isDefault501,updateAt501
roleName502,rolePermission1502,createAt1502,isDefault502,updateAt502
roleName503,rolePermission1503,createAt1503,isDefault503,updateAt503
roleName504,rolePermission1504,createAt1504,isDefault504,updateAt504
roleName505,rolePermission1505,createAt1505,isDefault505,updateAt505
roleName506,rolePermission1506,createAt1506,isDefault506,updateAt506
roleName507,rolePermission1507,createAt1507,isDefault507,updateAt507
roleName508,rolePermission1508,createAt1508,isDefault508,updateAt508
roleName509,rolePermission1509,createAt1509,isDefault509,updateAt509
roleName510,rolePermission1510,createAt1510,isDefault510,updateAt510
roleName511,rolePermission1511,createAt1511,isDefault511,updateAt511
roleName512,rolePermission1512,createAt1512,isDefault512,updateAt512
roleName513,rolePermission1513,createAt1513,isDefault513,updateAt513
roleName514,rolePermission1514,createAt1514,isDefault514,updateAt514
roleName515,rolePermission1515,createAt1515,isDefault515,updateAt515
roleName516,rolePermission1516,createAt1516,isDefault516,updateAt516
roleName517,rolePermission1517,createAt1517,isDefault517,updateAt517
roleName518,rolePermission1518,createAt1518,isDefault518,updateAt518
roleName519,rolePermission1519,createAt1519,isDefault519,updateAt519
roleName520,rolePermission1520,createAt1520,isDefault520,updateAt520
roleName521,rolePermission1521,createAt1521,isDefault521,updateAt521
roleName522,rolePermission1522,createAt1522,isDefault522,updateAt522
roleName523,rolePermission1523,createAt1523,isDefault523,updateAt523
roleName524,rolePermission1524,createAt1524,isDefault524,updateAt524
roleName525,rolePermission1525,createAt1525,isDefault525,updateAt525
roleName526,rolePermission1526,createAt1526,isDefault526,updateAt526
roleName527,rolePermission1527,createAt1527,isDefault527,updateAt527
roleName528,rolePermission1528,createAt1528,isDefault528,updateAt528
roleName529,rolePermission1529,createAt1529,isDefault529,updateAt529
roleName530,rolePermission1530,createAt1530,isDefault530,updateAt530
roleName531,rolePermission1531,createAt1531,isDefault531,updateAt531
roleName532,rolePermission1532,createAt1532,isDefault532,updateAt532
roleName533,rolePermission1533,createAt1533,isDefault533,updateAt533
roleName534,rolePermission1534,createAt1534,isDefault534,updateAt534
roleName535,rolePermission1535,createAt1535,isDefault535,updateAt535
roleName536,rolePermission1536,createAt1536,isDefault536,updateAt536
roleName537,rolePermission1537,createAt1537,isDefault537,updateAt537
roleName538,rolePermission1538,createAt1538,isDefault538,updateAt538
roleName539,rolePermission1539,createAt1539,isDefault539,updateAt539
roleName540,rolePermission1540,createAt1540,isDefault540,updateAt540
roleName541,rolePermission1541,createAt1541,isDefault541,updateAt541
roleName542,rolePermission1542,createAt1542,isDefault542,updateAt542
roleName543,rolePermission1543,createAt1543,isDefault543,updateAt543
roleName544,rolePermission1544,createAt1544,isDefault544,updateAt544
roleName545,rolePermission1545,createAt1545,isDefault545,updateAt545
roleName546,rolePermission1546,createAt1546,isDefault546,updateAt546
roleName547,rolePermission1547,createAt1547,isDefault547,updateAt547
roleName548,rolePermission1548,createAt1548,isDefault548,updateAt548
roleName549,rolePermission1549,createAt1549,isDefault549,updateAt549
roleName550,rolePermission1550,createAt1550,isDefault550,updateAt550
roleName551,rolePermission1551,createAt1551,isDefault551,updateAt551
roleName552,rolePermission1552,createAt1552,isDefault552,updateAt552
roleName553,rolePermission1553,createAt1553,isDefault553,updateAt553
roleName554,rolePermission1554,createAt1554,isDefault554,updateAt554
roleName555,rolePermission1555,createAt1555,isDefault555,updateAt555
roleName556,rolePermission1556,createAt1556,isDefault556,updateAt556
roleName557,rolePermission1557,createAt1557,isDefault557,updateAt557
roleName558,rolePermission1558,createAt1558,isDefault558,updateAt558
roleName559,rolePermission1559,createAt1559,isDefault559,updateAt559
roleName560,rolePermission1560,createAt1560,isDefault560,updateAt560
roleName561,rolePermission1561,createAt1561,isDefault561,updateAt561
roleName562,rolePermission1562,createAt1562,isDefault562,updateAt562
roleName563,rolePermission1563,createAt1563,isDefault563,updateAt563
roleName564,rolePermission1564,createAt1564,isDefault564,updateAt564
roleName565,rolePermission1565,createAt1565,isDefault565,updateAt565
roleName566,rolePermission1566,createAt1566,isDefault566,updateAt566
roleName567,rolePermission1567,createAt1567,isDefault567,updateAt567
roleName568,rolePermission1568,createAt1568,isDefault568,updateAt568
roleName569,rolePermission1569,createAt1569,isDefault569,updateAt569
roleName570,rolePermission1570,createAt1570,isDefault570,updateAt570
roleName571,rolePermission1571,createAt1571,isDefault571,updateAt571
roleName572,rolePermission1572,createAt1572,isDefault572,updateAt572
roleName573,rolePermission1573,createAt1573,isDefault573,updateAt573
roleName574,rolePermission1574,createAt1574,isDefault574,updateAt574
roleName575,rolePermission1575,createAt1575,isDefault575,updateAt575
roleName576,rolePermission1576,createAt1576,isDefault576,updateAt576
roleName577,rolePermission1577,createAt1577,isDefault577,updateAt577
roleName578,rolePermission1578,createAt1578,isDefault578,updateAt578
roleName579,rolePermission1579,createAt1579,isDefault579,updateAt579
roleName580,rolePermission1580,createAt1580,isDefault580,updateAt580
roleName581,rolePermission1581,createAt1581,isDefault581,updateAt581
roleName582,rolePermission1582,createAt1582,isDefault582,updateAt582
roleName583,rolePermission1583,createAt1583,isDefault583,updateAt583
roleName584,rolePermission1584,createAt1584,isDefault584,updateAt584
roleName585,rolePermission1585,createAt1585,isDefault585,updateAt585
roleName586,rolePermission1586,createAt1586,isDefault586,updateAt586
roleName587,rolePermission1587,createAt1587,isDefault587,updateAt587
roleName588,rolePermission1588,createAt1588,isDefault588,updateAt588
roleName589,rolePermission1589,createAt1589,isDefault589,updateAt589
roleName590,rolePermission1590,createAt1590,isDefault590,updateAt590
roleName591,rolePermission1591,createAt1591,isDefault591,updateAt591
roleName592,rolePermission1592,createAt1592,isDefault592,updateAt592
roleName593,rolePermission1593,createAt1593,isDefault593,updateAt593
roleName594,rolePermission1594,createAt1594,isDefault594,updateAt594
roleName595,rolePermission1595,createAt1595,isDefault595,updateAt595
roleName596,rolePermission1596,createAt1596,isDefault596,updateAt596
roleName597,rolePermission1597,createAt1597,isDefault597,updateAt597
roleName598,rolePermission1598,createAt1598,isDefault598,updateAt598
roleName599,rolePermission1599,createAt1599,isDefault599,updateAt599
roleName600,rolePermission1600,createAt1600,isDefault600,updateAt600
roleName601,rolePermission1601,createAt1601,isDefault601,updateAt601
roleName602,rolePermission1602,createAt1602,isDefault602,updateAt602
roleName603,rolePermission1603,createAt1603,isDefault603,updateAt603
roleName604,rolePermission1604,createAt1604,isDefault604,updateAt604
roleName605,rolePermission1605,createAt1605,isDefault605,updateAt605
roleName606,rolePermission1606,createAt1606,isDefault606,updateAt606
roleName607,rolePermission1607,createAt1607,isDefault607,updateAt607
roleName608,rolePermission1608,createAt1608,isDefault608,updateAt608
roleName609,rolePermission1609,createAt1609,isDefault609,updateAt609
roleName610,rolePermission1610,createAt1610,isDefault610,updateAt610
roleName611,rolePermission1611,createAt1611,isDefault611,updateAt611
roleName612,rolePermission1612,createAt1612,isDefault612,updateAt612
roleName613,rolePermission1613,createAt1613,isDefault613,updateAt613
roleName614,rolePermission1614,createAt1614,isDefault614,updateAt614
roleName615,rolePermission1615,createAt1615,isDefault615,updateAt615
roleName616,rolePermission1616,createAt1616,isDefault616,updateAt616
roleName617,rolePermission1617,createAt1617,isDefault617,updateAt617
roleName618,rolePermission1618,createAt1618,isDefault618,updateAt618
roleName619,rolePermission1619,createAt1619,isDefault619,updateAt619
roleName620,rolePermission1620,createAt1620,isDefault620,updateAt620
roleName621,rolePermission1621,createAt1621,isDefault621,updateAt621
roleName622,rolePermission1622,createAt1622,isDefault622,updateAt622
roleName623,rolePermission1623,createAt1623,isDefault623,updateAt623
roleName624,rolePermission1624,createAt1624,isDefault624,updateAt624
roleName625,rolePermission1625,createAt1625,isDefault625,updateAt625
roleName626,rolePermission1626,createAt1626,isDefault626,updateAt626
roleName627,rolePermission1627,createAt1627,isDefault627,updateAt627
roleName628,rolePermission1628,createAt1628,isDefault628,updateAt628
roleName629,rolePermission1629,createAt1629,isDefault629,updateAt629
roleName630,rolePermission1630,createAt1630,isDefault630,updateAt630
roleName631,rolePermission1631,createAt1631,isDefault631,updateAt631
roleName632,rolePermission1632,createAt1632,isDefault632,updateAt632
roleName633,rolePermission1633,createAt1633,isDefault633,updateAt633
roleName634,rolePermission1634,createAt1634,isDefault634,updateAt634
roleName635,rolePermission1635,createAt1635,isDefault635,updateAt635
roleName636,rolePermission1636,createAt1636,isDefault636,updateAt636
roleName637,rolePermission1637,createAt1637,isDefault637,updateAt637
roleName638,rolePermission1638,createAt1638,isDefault638,updateAt638
roleName639,rolePermission1639,createAt1639,isDefault639,updateAt639
roleName640,rolePermission1640,createAt1640,isDefault640,updateAt640
roleName641,rolePermission1641,createAt1641,isDefault641,updateAt641
roleName642,rolePermission1642,createAt1642,isDefault642,updateAt642
roleName643,rolePermission1643,createAt1643,isDefault643,updateAt643
roleName644,rolePermission1644,createAt1644,isDefault644,updateAt644
roleName645,rolePermission1645,createAt1645,isDefault645,updateAt645
roleName646,rolePermission1646,createAt1646,isDefault646,updateAt646
roleName647,rolePermission1647,createAt1647,isDefault647,updateAt647
roleName648,rolePermission1648,createAt1648,isDefault648,updateAt648
roleName649,rolePermission1649,createAt1649,isDefault649,updateAt649
roleName650,rolePermission1650,createAt1650,isDefault650,updateAt650
roleName651,rolePermission1651,createAt1651,isDefault651,updateAt651
roleName652,rolePermission1652,createAt1652,isDefault652,updateAt652
roleName653,rolePermission1653,createAt1653,isDefault653,updateAt653
roleName654,rolePermission1654,createAt1654,isDefault654,updateAt654
roleName655,rolePermission1655,createAt1655,isDefault655,updateAt655
roleName656,rolePermission1656,createAt1656,isDefault656,updateAt656
roleName657,rolePermission1657,createAt1657,isDefault657,updateAt657
roleName658,rolePermission1658,createAt1658,isDefault658,updateAt658
roleName659,rolePermission1659,createAt1659,isDefault659,updateAt659
roleName660,rolePermission1660,createAt1660,isDefault660,updateAt660
roleName661,rolePermission1661,createAt1661,isDefault661,updateAt661
roleName662,rolePermission1662,createAt1662,isDefault662,updateAt662
roleName663,rolePermission1663,createAt1663,isDefault663,updateAt663
roleName664,rolePermission1664,createAt1664,isDefault664,updateAt664
roleName665,rolePermission1665,createAt1665,isDefault665,updateAt665
roleName666,rolePermission1666,createAt1666,isDefault666,updateAt666
roleName667,rolePermission1667,createAt1667,isDefault667,updateAt667
roleName668,rolePermission1668,createAt1668,isDefault668,updateAt668
roleName669,rolePermission1669,createAt1669,isDefault669,updateAt669
roleName670,rolePermission1670,createAt1670,isDefault670,updateAt670
roleName671,rolePermission1671,createAt1671,isDefault671,updateAt671
roleName672,rolePermission1672,createAt1672,isDefault672,updateAt672
roleName673,rolePermission1673,createAt1673,isDefault673,updateAt673
roleName674,rolePermission1674,createAt1674,isDefault674,updateAt674
roleName675,rolePermission1675,createAt1675,isDefault675,updateAt675
roleName676,rolePermission1676,createAt1676,isDefault676,updateAt676
roleName677,rolePermission1677,createAt1677,isDefault677,updateAt677
roleName678,rolePermission1678,createAt1678,isDefault678,updateAt678
roleName679,rolePermission1679,createAt1679,isDefault679,updateAt679
roleName680,rolePermission1680,createAt1680,isDefault680,updateAt680
roleName681,rolePermission1681,createAt1681,isDefault681,updateAt681
roleName682,rolePermission1682,createAt1682,isDefault682,updateAt682
roleName683,rolePermission1683,createAt1683,isDefault683,updateAt683
roleName684,rolePermission1684,createAt1684,isDefault684,updateAt684
roleName685,rolePermission1685,createAt1685,isDefault685,updateAt685
roleName686,rolePermission1686,createAt1686,isDefault686,updateAt686
roleName687,rolePermission1687,createAt1687,isDefault687,updateAt687
roleName688,rolePermission1688,createAt1688,isDefault688,updateAt688
roleName689,rolePermission1689,createAt1689,isDefault689,updateAt689
roleName690,rolePermission1690,createAt1690,isDefault690,updateAt690
roleName691,rolePermission1691,createAt1691,isDefault691,updateAt691
roleName692,rolePermission1692,createAt1692,isDefault692,updateAt692
roleName693,rolePermission1693,createAt1693,isDefault693,updateAt693
roleName694,rolePermission1694,createAt1694,isDefault694,updateAt694
roleName695,rolePermission1695,createAt1695,isDefault695,updateAt695
roleName696,rolePermission1696,createAt1696,isDefault696,updateAt696
roleName697,rolePermission1697,createAt1697,isDefault697,updateAt697
roleName698,rolePermission1698,createAt1698,isDefault698,updateAt698
roleName699,rolePermission1699,createAt1699,isDefault699,updateAt699
roleName700,rolePermission1700,createAt1700,isDefault700,updateAt700
roleName701,rolePermission1701,createAt1701,isDefault701,updateAt701
roleName702,rolePermission1702,createAt1702,isDefault702,updateAt702
roleName703,rolePermission1703,createAt1703,isDefault703,updateAt703
roleName704,rolePermission1704,createAt1704,isDefault704,updateAt704
roleName705,rolePermission1705,createAt1705,isDefault705,updateAt705
roleName706,rolePermission1706,createAt1706,isDefault706,updateAt706
roleName707,rolePermission1707,createAt1707,isDefault707,updateAt707
roleName708,rolePermission1708,createAt1708,isDefault708,updateAt708
roleName709,rolePermission1709,createAt1709,isDefault709,updateAt709
roleName710,rolePermission1710,createAt1710,isDefault710,updateAt710
roleName711,rolePermission1711,createAt1711,isDefault711,updateAt711
roleName712,rolePermission1712,createAt1712,isDefault712,updateAt712
roleName713,rolePermission1713,createAt1713,isDefault713,updateAt713
roleName714,rolePermission1714,createAt1714,isDefault714,updateAt714
roleName715,rolePermission1715,createAt1715,isDefault715,updateAt715
roleName716,rolePermission1716,createAt1716,isDefault716,updateAt716
roleName717,rolePermission1717,createAt1717,isDefault717,updateAt717
roleName718,rolePermission1718,createAt1718,isDefault718,updateAt718
roleName719,rolePermission1719,createAt1719,isDefault719,updateAt719
roleName720,rolePermission1720,createAt1720,isDefault720,updateAt720
roleName721,rolePermission1721,createAt1721,isDefault721,updateAt721
roleName722,rolePermission1722,createAt1722,isDefault722,updateAt722
roleName723,rolePermission1723,createAt1723,isDefault723,updateAt723
roleName724,rolePermission1724,createAt1724,isDefault724,updateAt724
roleName725,rolePermission1725,createAt1725,isDefault725,updateAt725
roleName726,rolePermission1726,createAt1726,isDefault726,updateAt726
roleName727,rolePermission1727,createAt1727,isDefault727,updateAt727
roleName728,rolePermission1728,createAt1728,isDefault728,updateAt728
roleName729,rolePermission1729,createAt1729,isDefault729,updateAt729
roleName730,rolePermission1730,createAt1730,isDefault730,updateAt730
roleName731,rolePermission1731,createAt1731,isDefault731,updateAt731
roleName732,rolePermission1732,createAt1732,isDefault732,updateAt732
roleName733,rolePermission1733,createAt1733,isDefault733,updateAt733
roleName734,rolePermission1734,createAt1734,isDefault734,updateAt734
roleName735,rolePermission1735,createAt1735,isDefault735,updateAt735
roleName736,rolePermission1736,createAt1736,isDefault736,updateAt736
roleName737,rolePermission1737,createAt1737,isDefault737,updateAt737
roleName738,rolePermission1738,createAt1738,isDefault738,updateAt738
roleName739,rolePermission1739,createAt1739,isDefault739,updateAt739
roleName740,rolePermission1740,createAt1740,isDefault740,updateAt740
roleName741,rolePermission1741,createAt1741,isDefault741,updateAt741
roleName742,rolePermission1742,createAt1742,isDefault742,updateAt742
roleName743,rolePermission1743,createAt1743,isDefault743,updateAt743
roleName744,rolePermission1744,createAt1744,isDefault744,updateAt744
roleName745,rolePermission1745,createAt1745,isDefault745,updateAt745
roleName746,rolePermission1746,createAt1746,isDefault746,updateAt746
roleName747,rolePermission1747,createAt1747,isDefault747,updateAt747
roleName748,rolePermission1748,createAt1748,isDefault748,updateAt748
roleName749,rolePermission1749,createAt1749,isDefault749,updateAt749
roleName750,rolePermission1750,createAt1750,isDefault750,updateAt750
roleName751,rolePermission1751,createAt1751,isDefault751,updateAt751
roleName752,rolePermission1752,createAt1752,isDefault752,updateAt752
roleName753,rolePermission1753,createAt1753,isDefault753,updateAt753
roleName754,rolePermission1754,createAt1754,isDefault754,updateAt754
roleName755,rolePermission1755,createAt1755,isDefault755,updateAt755
roleName756,rolePermission1756,createAt1756,isDefault756,updateAt756
roleName757,rolePermission1757,createAt1757,isDefault757,updateAt757
roleName758,rolePermission1758,createAt1758,isDefault758,updateAt758
roleName759,rolePermission1759,createAt1759,isDefault759,updateAt759
roleName760,rolePermission1760,createAt1760,isDefault760,updateAt760
roleName761,rolePermission1761,createAt1761,isDefault761,updateAt761
roleName762,rolePermission1762,createAt1762,isDefault762,updateAt762
roleName763,rolePermission1763,createAt1763,isDefault763,updateAt763
roleName764,rolePermission1764,createAt1764,isDefault764,updateAt764
roleName765,rolePermission1765,createAt1765,isDefault765,updateAt765
roleName766,rolePermission1766,createAt1766,isDefault766,updateAt766
roleName767,rolePermission1767,createAt1767,isDefault767,updateAt767
roleName768,rolePermission1768,createAt1768,isDefault768,updateAt768
roleName769,rolePermission1769,createAt1769,isDefault769,updateAt769
roleName770,rolePermission1770,createAt1770,isDefault770,updateAt770
roleName771,rolePermission1771,createAt1771,isDefault771,updateAt771
roleName772,rolePermission1772,createAt1772,isDefault772,updateAt772
roleName773,rolePermission1773,createAt1773,isDefault773,updateAt773
roleName774,rolePermission1774,createAt1774,isDefault774,updateAt774
roleName775,rolePermission1775,createAt1775,isDefault775,updateAt775
roleName776,rolePermission1776,createAt1776,isDefault776,updateAt776
roleName777,rolePermission1777,createAt1777,isDefault777,updateAt777
roleName778,rolePermission1778,createAt1778,isDefault778,updateAt778
roleName779,rolePermission1779,createAt1779,isDefault779,updateAt779
roleName780,rolePermission1780,createAt1780,isDefault780,updateAt780
roleName781,rolePermission1781,createAt1781,isDefault781,updateAt781
roleName782,rolePermission1782,createAt1782,isDefault782,updateAt782
roleName783,rolePermission1783,createAt1783,isDefault783,updateAt783
roleName784,rolePermission1784,createAt1784,isDefault784,updateAt784
roleName785,rolePermission1785,createAt1785,isDefault785,updateAt785
roleName786,rolePermission1786,createAt1786,isDefault786,updateAt786
roleName787,rolePermission1787,createAt1787,isDefault787,updateAt787
roleName788,rolePermission1788,createAt1788,isDefault788,updateAt788
roleName789,rolePermission1789,createAt1789,isDefault789,updateAt789
roleName790,rolePermission1790,createAt1790,isDefault790,updateAt790
roleName791,rolePermission1791,createAt1791,isDefault791,updateAt791
roleName792,rolePermission1792,createAt1792,isDefault792,updateAt792
roleName793,rolePermission1793,createAt1793,isDefault793,updateAt793
roleName794,rolePermission1794,createAt1794,isDefault794,updateAt794
roleName795,rolePermission1795,createAt1795,isDefault795,updateAt795
roleName796,rolePermission1796,createAt1796,isDefault796,updateAt796
roleName797,rolePermission1797,createAt1797,isDefault797,updateAt797
roleName798,rolePermission1798,createAt1798,isDefault798,updateAt798
roleName799,rolePermission1799,createAt1799,isDefault799,updateAt799
roleName800,rolePermission1800,createAt1800,isDefault800,updateAt800
roleName801,rolePermission1801,createAt1801,isDefault801,updateAt801
roleName802,rolePermission1802,createAt1802,isDefault802,updateAt802
roleName803,rolePermission1803,createAt1803,isDefault803,updateAt803
roleName804,rolePermission1804,createAt1804,isDefault804,updateAt804
roleName805,rolePermission1805,createAt1805,isDefault805,updateAt805
roleName806,rolePermission1806,createAt1806,isDefault806,updateAt806
roleName807,rolePermission1807,createAt1807,isDefault807,updateAt807
roleName808,rolePermission1808,createAt1808,isDefault808,updateAt808
roleName809,rolePermission1809,createAt1809,isDefault809,updateAt809
roleName810,rolePermission1810,createAt1810,isDefault810,updateAt810
roleName811,rolePermission1811,createAt1811,isDefault811,updateAt811
roleName812,rolePermission1812,createAt1812,isDefault812,updateAt812
roleName813,rolePermission1813,createAt1813,isDefault813,updateAt813
roleName814,rolePermission1814,createAt1814,isDefault814,updateAt814
roleName815,rolePermission1815,createAt1815,isDefault815,updateAt815
roleName816,rolePermission1816,createAt1816,isDefault816,updateAt816
roleName817,rolePermission1817,createAt1817,isDefault817,updateAt817
roleName818,rolePermission1818,createAt1818,isDefault818,updateAt818
roleName819,rolePermission1819,createAt1819,isDefault819,updateAt819
roleName820,rolePermission1820,createAt1820,isDefault820,updateAt820
roleName821,rolePermission1821,createAt1821,isDefault821,updateAt821
roleName822,rolePermission1822,createAt1822,isDefault822,updateAt822
roleName823,rolePermission1823,createAt1823,isDefault823,updateAt823
roleName824,rolePermission1824,createAt1824,isDefault824,updateAt824
roleName825,rolePermission1825,createAt1825,isDefault825,updateAt825
roleName826,rolePermission1826,createAt1826,isDefault826,updateAt826
roleName827,rolePermission1827,createAt1827,isDefault827,updateAt827
roleName828,rolePermission1828,createAt1828,isDefault828,updateAt828
roleName829,rolePermission1829,createAt1829,isDefault829,updateAt829
roleName830,rolePermission1830,createAt1830,isDefault830,updateAt830
roleName831,rolePermission1831,createAt1831,isDefault831,updateAt831
roleName832,rolePermission1832,createAt1832,isDefault832,updateAt832
roleName833,rolePermission1833,createAt1833,isDefault833,updateAt833
roleName834,rolePermission1834,createAt1834,isDefault834,updateAt834
roleName835,rolePermission1835,createAt1835,isDefault835,updateAt835
roleName836,rolePermission1836,createAt1836,isDefault836,updateAt836
roleName837,rolePermission1837,createAt1837,isDefault837,updateAt837
roleName838,rolePermission1838,createAt1838,isDefault838,updateAt838
roleName839,rolePermission1839,createAt1839,isDefault839,updateAt839
roleName840,rolePermission1840,createAt1840,isDefault840,updateAt840
roleName841,rolePermission1841,createAt1841,isDefault841,updateAt841
roleName842,rolePermission1842,createAt1842,isDefault842,updateAt842
roleName843,rolePermission1843,createAt1843,isDefault843,updateAt843
roleName844,rolePermission1844,createAt1844,isDefault844,updateAt844
roleName845,rolePermission1845,createAt1845,isDefault845,updateAt845
roleName846,rolePermission1846,createAt1846,isDefault846,updateAt846
roleName847,rolePermission1847,createAt1847,isDefault847,updateAt847
roleName848,rolePermission1848,createAt1848,isDefault848,updateAt848
roleName849,rolePermission1849,createAt1849,isDefault849,updateAt849
roleName850,rolePermission1850,createAt1850,isDefault850,updateAt850
roleName851,rolePermission1851,createAt1851,isDefault851,updateAt851
roleName852,rolePermission1852,createAt1852,isDefault852,updateAt852
roleName853,rolePermission1853,createAt1853,isDefault853,updateAt853
roleName854,rolePermission1854,createAt1854,isDefault854,updateAt854
roleName855,rolePermission1855,createAt1855,isDefault855,updateAt855
roleName856,rolePermission1856,createAt1856,isDefault856,updateAt856
roleName857,rolePermission1857,createAt1857,isDefault857,updateAt857
roleName858,rolePermission1858,createAt1858,isDefault858,updateAt858
roleName859,rolePermission1859,createAt1859,isDefault859,updateAt859
roleName860,rolePermission1860,createAt1860,isDefault860,updateAt860
roleName861,rolePermission1861,createAt1861,isDefault861,updateAt861
roleName862,rolePermission1862,createAt1862,isDefault862,updateAt862
roleName863,rolePermission1863,createAt1863,isDefault863,updateAt863
roleName864,rolePermission1864,createAt1864,isDefault864,updateAt864
roleName865,rolePermission1865,createAt1865,isDefault865,updateAt865
roleName866,rolePermission1866,createAt1866,isDefault866,updateAt866
roleName867,rolePermission1867,createAt1867,isDefault867,updateAt867
roleName868,rolePermission1868,createAt1868,isDefault868,updateAt868
roleName869,rolePermission1869,createAt1869,isDefault869,updateAt869
roleName870,rolePermission1870,createAt1870,isDefault870,updateAt870
roleName871,rolePermission1871,createAt1871,isDefault871,updateAt871
roleName872,rolePermission1872,createAt1872,isDefault872,updateAt872
roleName873,rolePermission1873,createAt1873,isDefault873,updateAt873
roleName874,rolePermission1874,createAt1874,isDefault874,updateAt874
roleName875,rolePermission1875,createAt1875,isDefault875,updateAt875
roleName876,rolePermission1876,createAt1876,isDefault876,updateAt876
roleName877,rolePermission1877,createAt1877,isDefault877,updateAt877
roleName878,rolePermission1878,createAt1878,isDefault878,updateAt878
roleName879,rolePermission1879,createAt1879,isDefault879,updateAt879
roleName880,rolePermission1880,createAt1880,isDefault880,updateAt880
roleName881,rolePermission1881,createAt1881,isDefault881,updateAt881
roleName882,rolePermission1882,createAt1882,isDefault882,updateAt882
roleName883,rolePermission1883,createAt1883,isDefault883,updateAt883
roleName884,rolePermission1884,createAt1884,isDefault884,updateAt884
roleName885,rolePermission1885,createAt1885,isDefault885,updateAt885
roleName886,rolePermission1886,createAt1886,isDefault886,updateAt886
roleName887,rolePermission1887,createAt1887,isDefault887,updateAt887
roleName888,rolePermission1888,createAt1888,isDefault888,updateAt888
roleName889,rolePermission1889,createAt1889,isDefault889,updateAt889
roleName890,rolePermission1890,createAt1890,isDefault890,updateAt890
roleName891,rolePermission1891,createAt1891,isDefault891,updateAt891
roleName892,rolePermission1892,createAt1892,isDefault892,updateAt892
roleName893,rolePermission1893,createAt1893,isDefault893,updateAt893
roleName894,rolePermission1894,createAt1894,isDefault894,updateAt894
roleName895,rolePermission1895,createAt1895,isDefault895,updateAt895
roleName896,rolePermission1896,createAt1896,isDefault896,updateAt896
roleName897,rolePermission1897,createAt1897,isDefault897,updateAt897
roleName898,rolePermission1898,createAt1898,isDefault898,updateAt898
roleName899,rolePermission1899,createAt1899,isDefault899,updateAt899
roleName900,rolePermission1900,createAt1900,isDefault900,updateAt900
roleName901,rolePermission1901,createAt1901,isDefault901,updateAt901
roleName902,rolePermission1902,createAt1902,isDefault902,updateAt902
roleName903,rolePermission1903,createAt1903,isDefault903,updateAt903
roleName904,rolePermission1904,createAt1904,isDefault904,updateAt904
roleName905,rolePermission1905,createAt1905,isDefault905,updateAt905
roleName906,rolePermission1906,createAt1906,isDefault906,updateAt906
